,created_at,favorite_count,location,retweet_count,text
31,Sun Mar 18 21:09:08 +0000 2018,1,No Location,0,"@GordonGChang:’U put #AI &amp; Quantum [#QuantumComputing] 2gether, &amp; who knows whats gonna happen. We dont have that P… https://t.co/vYsp45zlma"
32,Sun Mar 18 21:05:29 +0000 2018,0,No Location,2,RT @NewScienceWrld: What CISOs Should Know About #QuantumComputing https://t.co/MfrOPkW8YZ https://t.co/LeP5kLnh3K
33,Sun Mar 18 21:03:52 +0000 2018,0,No Location,2,RT @silicontalent: #DARPA launches research program to study time crystals. #QuantumComputing #Qubits #AI #MachineLearning  https://t.co/uk…
34,Sun Mar 18 21:03:05 +0000 2018,2,No Location,1,.@whurley Is Giving #SXSW a Crash Course in #QuantumComputing https://t.co/A6WcW9RL51 #IEEESXSW https://t.co/0STK3OZEO3
35,Sun Mar 18 20:57:09 +0000 2018,0,No Location,2,"RT @wjzeng: Thanks for the shoutout @whurley, this technology is big enough that we are all in this together. Congrats and welcome to the j…"
36,Sun Mar 18 20:47:21 +0000 2018,0,No Location,2,RT @NewScienceWrld: What CISOs Should Know About #QuantumComputing https://t.co/MfrOPkW8YZ https://t.co/LeP5kLnh3K
37,Sun Mar 18 20:45:52 +0000 2018,1,No Location,2,What CISOs Should Know About #QuantumComputing https://t.co/MfrOPkW8YZ https://t.co/LeP5kLnh3K
38,Sun Mar 18 20:42:32 +0000 2018,0,No Location,2,RT @DITRStocks: $WRFX Announced that a West Indies based #cryptocurrency trading platform investment group has requested multi-year terms &amp;…
39,Sun Mar 18 20:42:00 +0000 2018,0,No Location,0,Quantum computing is quickly moving from the theoretical world to reality. #QuantumComputing ????_??_??????# https://t.co/35jszovwdD
40,Sun Mar 18 20:22:22 +0000 2018,0,No Location,33,"RT @ipfconline1: Opportunities of Quantum #MachineLearning
?Using the Potential of Quantum #Tech as a Possible Solution to The Unresolvable…"
41,Sun Mar 18 20:14:35 +0000 2018,3,No Location,1,"looking forward for @A_Aspuru_Guzik talk on ""The age of variational quantum algorithms."" #ACSNOLA #QuantumComputing"
42,Sun Mar 18 19:47:59 +0000 2018,2,No Location,2,"$WRFX ‘s subsidiary, https://t.co/CShlUHF5z2 ‘s technology gives privacy and security back to the people through st… https://t.co/JnTZXHtNqZ"
43,Sun Mar 18 19:46:07 +0000 2018,0,No Location,0,"KenoNitroProject - superior, wonderfull and extremly dangerous #ai #superintelligence #aiinception #cyber #gaming… https://t.co/1L5OgGG2hq"
44,Sun Mar 18 19:24:28 +0000 2018,0,No Location,0,"Not easy to think something can be 2 things at once... #QuantumComputing meets human/musical depiction 
""Body Parts… https://t.co/pSp8PPJWdZ"
45,Sun Mar 18 19:15:51 +0000 2018,0,No Location,16,"RT @ipfconline1: Japan Unveils Quantum Neural Network
Potential Real-World Use Cases Include Easing Traffic Congestion, Optimizing Smart Ph…"
46,Sun Mar 18 19:15:27 +0000 2018,0,No Location,33,"RT @ipfconline1: Opportunities of Quantum #MachineLearning
?Using the Potential of Quantum #Tech as a Possible Solution to The Unresolvable…"
47,Sun Mar 18 19:00:08 +0000 2018,0,No Location,0,#quantum #QuantumComputing #MachineLearning #AI #biomimetics #quantumtechnologies
48,Sun Mar 18 18:54:34 +0000 2018,0,No Location,12,RT @GVAResearch: #QuantumComputing #QuantumIsComing #Quantum1Net https://t.co/GTKk4MeP6F
49,Sun Mar 18 18:52:03 +0000 2018,0,No Location,12,RT @GVAResearch: #QuantumComputing #QuantumIsComing #Quantum1Net https://t.co/GTKk4MeP6F
50,Sun Mar 18 18:51:55 +0000 2018,1,No Location,0,Making quantum encryption a reality: @Quantum1Net Solves Structural Flaws in Security &amp; Energy Consumption for… https://t.co/UTs4Tz5RxD
51,Sun Mar 18 18:40:03 +0000 2018,0,No Location,5,"RT @dataiku: DC #data community: join us to learn about #quantum computing and #machinelearning on April 12 at @GWtweets with John Kelly, D…"
52,Sun Mar 18 18:31:00 +0000 2018,0,No Location,0,Good details about #QuantumComputing https://t.co/D1iiYuTTZB
53,Sun Mar 18 18:27:19 +0000 2018,0,No Location,3,"RT @AmandaMcarl: IBM suggests we think in terms of ""quantum volume"" a measure that combines number of #qubits used for calculations along w…"
54,Sun Mar 18 18:20:05 +0000 2018,0,No Location,1,RT @arnabch01: #QuantumComputing #HPC #AI #ML #blockchain in 5-10 yrs will kill &gt;40% #trading #banking #jobs The next #recession will be pa…
55,Sun Mar 18 18:16:28 +0000 2018,0,No Location,1,"RT @DijSab: Industrie 4.0 einfach gesagt 
“Wer nicht mit der Zeit geht, geht mit der Zeit.“ 

#Digitalisierung #industrie40 #artificalintel…"
56,Sun Mar 18 18:15:06 +0000 2018,0,No Location,12,RT @GVAResearch: #QuantumComputing #QuantumIsComing #Quantum1Net https://t.co/GTKk4MeP6F
57,Sun Mar 18 18:14:11 +0000 2018,0,No Location,33,"RT @ipfconline1: Opportunities of Quantum #MachineLearning
?Using the Potential of Quantum #Tech as a Possible Solution to The Unresolvable…"
58,Sun Mar 18 18:14:10 +0000 2018,0,No Location,2,RT @DITRStocks: $WRFX Announced that a West Indies based #cryptocurrency trading platform investment group has requested multi-year terms &amp;…
59,Sun Mar 18 18:14:06 +0000 2018,0,No Location,1,"RT @DITRStocks: $WRFX - ""We've been very busy this year with multiple cybersecurity business opportunities in the United States, Asia and E…"
60,Sun Mar 18 18:03:32 +0000 2018,0,No Location,50,RT @arnabch01: @semicvet50 @VladimerAntonov @MontyNishimura @BrindusaB1 @Hakflak @BPerrionni @RitaCobix @Koksalakn @amparofashion @Papryka5…
61,Sun Mar 18 18:02:48 +0000 2018,0,No Location,2,"RT @wjzeng: Thanks for the shoutout @whurley, this technology is big enough that we are all in this together. Congrats and welcome to the j…"
