,created_at,favorite_count,location,retweet_count,text
32,Sun Mar 18 23:11:15 +0000 2018,0,No Location,5,RT @evankirstel: Why is L'Oreal buying a technology company? https://t.co/BkpGlkpvwQ #AI #AR #thINK2018 https://t.co/HmlblyNNAD
33,Sun Mar 18 23:11:06 +0000 2018,0,No Location,5,RT @evankirstel: Why is L'Oreal buying a technology company? https://t.co/BkpGlkpvwQ #AI #AR #thINK2018 https://t.co/HmlblyNNAD
34,Sun Mar 18 23:10:56 +0000 2018,3,No Location,5,Why is L'Oreal buying a technology company? https://t.co/BkpGlkpvwQ #AI #AR #thINK2018 https://t.co/HmlblyNNAD
35,Sun Mar 18 23:10:52 +0000 2018,0,No Location,153,RT @antgrasso: What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their future wil…
36,Sun Mar 18 23:10:44 +0000 2018,0,No Location,4,"RT @brucedbaron: #robots #drones #AR #mobility #AI and a lot more to be seen at #think2018 I am heading to the airport, I'll race you.... h…"
37,Sun Mar 18 23:10:33 +0000 2018,0,No Location,28,"RT @JackPhan: How awesome is this? My teenage self has been dreaming of this day. 

Play 'Street Fighter II' anywhere with this #AR port #S…"
38,Sun Mar 18 23:09:59 +0000 2018,0,No Location,6,"RT @lampix_co: We're live on Kickstarter: Personal-touch, no-screen tabletop Augmented Reality is here #Lampix #Blockchain #AR #tech #table…"
39,Sun Mar 18 23:09:54 +0000 2018,0,No Location,1,RT @lampix_co: Vote for us on Product Hunt! https://t.co/MZTehA4h94 #AR #VR #HTML #ProductHunt #Kickstarter
40,Sun Mar 18 23:09:47 +0000 2018,0,No Location,4,RT @lampix_co: Lampix: Free the screen. Enter the dream. Get it now on Kickstarter https://t.co/ibTzB2Hn3l #AR #VR #webdev #webdesign #HTML…
41,Sun Mar 18 23:09:30 +0000 2018,0,No Location,2,RT @yomiuri_o_bunka: #???? ????? #???? ????48??????????????? #???? ??(??)?? #???? ????? #???? ??????????????????????????????????360????????…
42,Sun Mar 18 23:08:30 +0000 2018,0,No Location,13,RT @EdTech_K12: Infographic: #AR can boost #learningexperiences for #K12 &amp; #highered students. https://t.co/sVyGbnJuyQ https://t.co/apbCiez…
43,Sun Mar 18 23:08:08 +0000 2018,0,No Location,46,RT @CrowdConscious: Exciting news! @decentraland $LAND marketplace launches next week! Learn about #VRSDistrict &amp; vision within Decentralan…
44,Sun Mar 18 23:07:18 +0000 2018,0,No Location,56,RT @VladoBotsvadze: What are #innovation leaders talking about? #startups #tech #IoT #bigdata #fintech #UX #analytics #marketing #AR #CX #A…
45,Sun Mar 18 23:07:07 +0000 2018,0,No Location,57,RT @VladoBotsvadze: What are #innovation leaders talking about? #startups #tech #IoT #bigdata #fintech #UX #analytics #marketing #AR #CX #A…
46,Sun Mar 18 23:07:05 +0000 2018,0,No Location,1,RT @EdTech_K12: #K12 schools can get their #networks prepared for #VR &amp; #AR with just a few steps. https://t.co/G0v4korbcR
47,Sun Mar 18 23:07:01 +0000 2018,0,No Location,7,"RT @FashNerd: FashNerd | @Bose's AR Sunglasses use Sound, not a Screen to Augment Reality https://t.co/Jg5zIXkDYg #AugmentedReality #AR #We…"
48,Sun Mar 18 23:06:35 +0000 2018,0,No Location,0,"Russian startup #Arcona aims to build ""universal #AR infrastructure” and deploy its “Digital Land” across the world… https://t.co/V2VkZN5l8n"
